Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Fiji,Climate Watch,Total including LUCF,All GHG,MtCO₂e,-0.16,-0.24,-0.22,-0.41,-0.54,-0.66,-0.25,-0.37,-0.29,-0.24,-0.41,-0.41,-0.14,-0.03,-0.12,0.07,-0.38,-0.5,-0.33,-0.59,-0.63,-0.6,-0.56,-0.56,-0.6,-0.66,-0.71,-0.77,-0.81,-0.82
Finland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,58.42,62.43,60.86,63.65,-0.28,3.2,7.24,6.46,12.1,59.98,51.8,55.43,63.52,65.35,53.93,66.11,69.97,61.78,59.34,38.2,39.51,40.18,43.79,45.69,39.23,43.21,36.56,35.32,38.43,38.54
France,Climate Watch,Total including LUCF,All GHG,MtCO₂e,352.1,360.76,374.26,371.62,372.12,366.68,400.17,399.26,395.62,406.15,402.2,419.99,426.0,432.73,442.6,441.29,443.12,437.95,444.92,481.14,482.75,491.96,475.91,485.26,465.53,456.82,462.52,481.51,496.09,471.02
Gabon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.68,18.89,19.37,20.8,20.39,19.92,19.59,19.35,19.75,16.48,15.6,15.92,15.21,15.9,17.1,17.41,17.75,16.54,17.14,17.57,18.02,18.99,17.9,18.1,17.14,15.95,15.19,14.86,14.9,13.88
Gambia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.86,2.66,2.8,2.77,2.88,2.72,2.58,2.51,2.43,2.74,2.7,2.34,2.2,2.14,2.06,2.19,2.28,2.38,2.6,3.13,3.49,3.56,3.83,4.15,4.49,4.96,5.43,5.31,5.2,5.04
Georgia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.64,17.14,17.46,17.58,17.15,16.83,16.23,15.34,14.45,9.56,9.85,9.1,9.99,9.23,8.87,8.32,8.24,7.72,8.27,-4.02,-4.43,-4.18,-3.7,-2.88,-1.36,1.7,8.86,14.39,21.95,31.4
Germany,Climate Watch,Total including LUCF,All GHG,MtCO₂e,720.23,771.48,800.21,817.47,814.64,809.96,850.84,834.47,821.26,861.83,831.35,887.83,884.97,913.4,904.6,926.57,943.14,941.97,958.16,906.43,914.04,951.88,974.96,1012.11,982.02,986.38,995.96,1004.45,1049.84,1077.16
Ghana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12.75,10.94,9.3,7.24,61.02,59.55,60.02,57.97,55.38,69.81,68.02,66.85,67.09,66.85,65.64,63.4,64.55,64.05,62.8,28.4,28.05,29.28,25.69,24.38,23.49,23.14,22.8,22.58,22.05,21.97
Greece,Climate Watch,Total including LUCF,All GHG,MtCO₂e,79.91,85.45,88.18,88.57,89.85,91.59,94.67,102.34,107.33,107.16,113.88,120.66,124.63,121.1,122.76,120.67,121.03,117.7,117.31,116.94,111.13,110.23,106.03,104.96,103.87,99.44,96.82,96.46,94.38,94.31
Grenada,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.39,2.37,2.33,2.31,2.29,2.26,2.32,2.4,2.29,2.26,2.76,2.24,2.21,2.19,2.16,2.14,2.15,2.13,2.1,2.07,2.07,2.06,2.02,1.99,1.96,1.93,1.91,1.92,1.86,1.84
Guatemala,Climate Watch,Total including LUCF,All GHG,MtCO₂e,38.49,37.05,35.21,35.81,38.64,35.66,34.63,33.39,32.71,38.15,38.33,36.69,38.05,36.4,37.08,34.96,35.99,34.34,33.08,36.44,34.17,35.52,31.85,31.59,31.31,30.28,30.08,29.44,28.24,27.88
